"sessionTitle","date","studentCount","presentCount","totalCount","pct"
"MCQ Practice","2026-06-22","659","428","781","54.8"
"Deletion in Linked List","2026-06-20","107","19","107","17.8"
"Insertion in Linked List","2026-06-20","231","156","231","67.5"
"Introduction to Linked List","2026-06-20","644","448","644","69.6"
"MCQ Practice","2026-06-20","539","324","539","60.1"
"MCQ Practice | Largest Subarray Sum","2026-06-20","60","29","60","48.3"
"MCQ Practice | Two Sum","2026-06-20","70","52","70","74.3"
"Insertion in Linked List","2026-06-19","206","19","206","9.2"
"Introduction to Linked List","2026-06-19","787","534","787","67.9"
"MCQ Practice","2026-06-19","622","376","622","60.5"
"MCQ Practice | Two Sum","2026-06-19","156","121","156","77.6"
"Two Sum","2026-06-19","286","211","286","73.8"
"Introduction to Linked List","2026-06-18","633","274","633","43.3"
"Largest Subarray Sum","2026-06-18","280","172","280","61.4"
"Longest Subarray with Sum K","2026-06-18","70","46","70","65.7"
"MCQ Practice","2026-06-18","282","88","282","31.2"
"MCQ Practice | Longest Subarray with Sum K","2026-06-18","60","32","60","53.3"
"MCQ Practice | Two Sum","2026-06-18","222","172","222","77.5"
"Two Sum","2026-06-18","296","213","296","72"
"Largest Subarray Sum","2026-06-17","450","289","450","64.2"
"Longest Subarray with Sum K","2026-06-17","196","125","196","63.8"
"MCQ Practice | Largest Subarray Sum","2026-06-17","94","72","94","76.6"
"MCQ Practice | Longest Subarray with Sum K","2026-06-17","124","86","124","69.4"
"MCQ Practice | Two Sum","2026-06-17","158","78","158","49.4"
"Two Sum","2026-06-17","633","196","633","31"
"Largest Subarray Sum","2026-06-16","767","243","767","31.7"
"Longest Subarray with Sum K","2026-06-16","512","286","512","55.9"
"MCQ Practice","2026-06-16","64","32","64","50"
"MCQ Practice | Largest Subarray Sum","2026-06-16","94","72","94","76.6"
"MCQ Practice | Longest Subarray with Sum K","2026-06-16","220","124","220","56.4"
"Longest Subarray with Sum K","2026-06-15","1145","355","1145","31"
"MCQ Practice | Largest Subarray Sum","2026-06-15","80","24","80","30"
"MCQ Practice | Longest Subarray with Sum K","2026-06-15","94","45","94","47.9"
"Sliding Window, Two-Pointer Technique","2026-06-15","134","59","134","44"
"MCQ Practice","2026-06-13","417","49","417","11.8"
"MCQ Practice | Largest Subarray Sum","2026-06-13","64","31","64","48.4"
"MCQ Practice | Longest Subarray with Sum K","2026-06-13","234","68","234","29.1"
"Sliding Window, Two-Pointer Technique","2026-06-13","1279","219","1378","15.9"
"MCQ Practice","2026-06-12","590","166","650","25.5"
"MCQ Practice | Longest Subarray with Sum K","2026-06-12","60","27","60","45"
"Prefix Sum","2026-06-12","1279","232","1279","18.1"
"Hashing","2026-06-11","1279","75","1279","5.9"
"MCQ Practice","2026-06-11","756","38","756","5"
