"subject","section","sessionTitle","date","presentCount","totalCount","pct"
"Advanced Communication Skills","CDU Batch-1 - S-013","Module 1 Quiz","2026-07-13","44","60","73.3"
"Advanced Communication Skills","CDU Batch-1 - S-013","Emphasizing Self-Expression","2026-07-11","43","60","71.7"
"Advanced Communication Skills","CDU Batch-1 - S-013","Framing Effective Questions","2026-07-08","46","60","76.7"
"Advanced Communication Skills","CDU Batch-1 - S-013","Real Time Session 2: Activity","2026-07-07","44","60","73.3"
"Advanced Communication Skills","CDU Batch-1 - S-013","Real Time Session 2: Activity","2026-07-06","48","60","80"
"Advanced Communication Skills","CDU Batch-1 - S-013","Real Time Session 2: Activity","2026-07-03","38","60","63.3"
"Advanced Communication Skills","CDU Batch-1 - S-013","Real Time Session 2: Activity","2026-07-01","2","60","3.3"
"Advanced Communication Skills","CDU Batch-1 - S-013","Real Time Session 2: Activity","2026-06-27","28","60","46.7"
"Advanced Communication Skills","CDU Batch-1 - S-013","Real Time Session 1: Activity","2026-06-24","67","120","55.8"
"Advanced Communication Skills","CDU Batch-1 - S-013","Designing Clear Prompts","2026-06-19","51","60","85"
"Advanced Communication Skills","CDU Batch-1 - S-013","Mastering the Art of Discussion","2026-06-17","46","60","76.7"
"Advanced Communication Skills","CDU Batch-1 - S-013","The Language of Connection","2026-06-15","27","60","45"
"Advanced Communication Skills","CDU Batch-1 - S-013","Accuracy in sentence structure","2026-06-11","0","60","0"
"Advanced Communication Skills","CDU Batch-1 - S-014","III semester Project - 6","2026-08-04","24","60","40"
"Advanced Communication Skills","CDU Batch-1 - S-014","III semester Project - 5","2026-08-03","30","60","50"
"Advanced Communication Skills","CDU Batch-1 - S-014","III semester Project - 4","2026-07-31","32","60","53.3"
"Advanced Communication Skills","CDU Batch-1 - S-014","III semester Project - 3","2026-07-27","41","60","68.3"
"Advanced Communication Skills","CDU Batch-1 - S-014","III semester Project - 2","2026-07-23","42","60","70"
"Advanced Communication Skills","CDU Batch-1 - S-014","III semester Project - 1","2026-07-20","41","60","68.3"
"Advanced Communication Skills","CDU Batch-1 - S-014","Real Time Session 3: Activity","2026-07-17","48","60","80"
"Advanced Communication Skills","CDU Batch-1 - S-014","Real Time Session 3: Activity","2026-07-15","40","60","66.7"
"Advanced Communication Skills","CDU Batch-1 - S-014","Emphasizing Self-Expression","2026-07-13","41","60","68.3"
